번호,지역명,정책명,정책유형,정책소개,사업운영기간,사업신청기간,주관기관
549,경기,사회적경제 SNS 기자단 “용인시(SE) 청년 톡파원” 추가모집,참여.권리,SNS홍보채널을 통하여 사회적 경제를 알릴 SNS기자단 모집,,"2024-03-27~2024-04-19
2024.3.27.(수)~4.19.(금) 오후 6시","용인시, 용인시사회적경제지원센터"
550,경기,'신혼부부 주택매입 및 전세자금 대출이자 지원' 2차 모집(안양시),주거,신혼부부 주택매입 및 전세자금 대출이자 지원사업,,"2024-04-22~2024-05-13
-",○ 안양시 주택과 주거복지팀(031-8045-5497)
551,경기,상반기 남양주시 장학생 선발 공고,교육,2024년 상반기 남양주시 장학생 선발 공고,,"2024-04-15~2024-04-26
-",○ 남양주시 문화교육국 미래교육과(☎031-590-2106)
552,경기,청년 리빙랩 프로젝트 공모사업(이천시),참여.권리,이천시 지역문제와 공공과제에 대하여 스스로 과제를 발굴하고 문제 해결 활동을 실천할 동아리를 지원하는 「이천 청년 리빙랩 프로젝트 공모사업」을 진행,,"2024-04-11~2024-04-26
❍ 접수기간 : 2024. 4. 11. (목) ∼ 2024. 4. 26. (금)까지",경기도 이천시
553,경기,경기청년 마음상담소,복지.문화,청년 전문 상담소[리추얼리]의 청년을 위한 온라인 또래상담,,- 사업기간 : 2024.4.1~2024.12.31(상시),- 경기복지재단 경기청년지원사업단(070-8834-7055)
554,경기,청년을 위한 우울극복 프로젝트 봄봄(수원시),복지.문화,청년을 위한 우울극복 프로그램,,"2024-04-01~2024-04-26
-",○ 수원시자살예방센터(031-247-3279)
555,경기,청년면접정장 대여사업 '청년맞춤 취업옷장'(안성시),일자리,안성시 청년 구직자에게 면접정장 대여 지원을 통해 취업 준비로 인한 경제적 부담 완화와 청년층의 구직활동을 촉진 하고자 함,,❍사업기간 : 2024년 1. 16. ~ 12. 24.(예산 소진 시 종료),경기도 안성시
556,경기,청년 전월세보증금 대출이자 지원(평택시),주거,평택시에 거주하는 청년의 주거비 부담 완화 및 사회진입을 지원하여 정주하고 싶은 도시 평택을 만들고자 2024년 「평택시 청년 전‧월세보증금 대출이자 지원」 사업 참여자를 모집,,"2024-04-15~2024-04-26
❍ 신청기간 : 2024. 4. 15.(월) 09:00 ~ 4. 26.(금) 18:00(토․일, 공휴일 제외)",경기도 평택시
557,경기,청년을 위한 우울극복 프로젝트 봄봄(수원시),복지.문화,청년을 위한 우울극복 프로그램,,"2024-04-01~2024-04-26
-",○ 수원시자살예방센터(031-247-3279)
558,경기,청년면접정장 대여사업 '청년맞춤 취업옷장'(안성시),일자리,안성시 청년 구직자에게 면접정장 대여 지원을 통해 취업 준비로 인한 경제적 부담 완화와 청년층의 구직활동을 촉진 하고자 함,,❍사업기간 : 2024년 1. 16. ~ 12. 24.(예산 소진 시 종료),경기도 안성시
559,경기,대학생 학자금 대출이자 지원(안성시),교육,"대학생, 대학원생의 경제적 부담을 경감하고자 '안성시 대학생 학자금 대출이자 지원에 관한 조례'에 따라 안성시 대학생 학자금 대출이자를 지원",,"2024-02-26~2024-04-30
❍신청기간 : 2024. 2. 26.(월) ~ 2024. 4. 30.(화)",경기도 안성시
560,경기,청년 면접 사진 촬영 「꿈나래」(화성시),일자리,화성시 청년들의 원활한 구직활동을 위해 면접용 사진촬영비를 지원,,"2024-02-19~2024-12-06
❍ 신청기간: 2024. 2. 19.(월) ~ 12. 6.(금) ※ 선착순(예산소진 시 조기종료)",경기도 화성시
561,경기,청년 전월세 보증금 대출이자 지원사업(화성시),주거,화성시에서는 청년들의 주거비 부담 완화와 정주여건 향상을 위해 「2024년 화성시 청년 전월세보증금 대출이자 지원사업」을 실시,,"2024-04-08~2024-04-30
❍ 신청기간: 2024. 4. 8.(월) ~ 4. 30.(화)",경기도 화성시
562,경기,취업 시즌대비특강-영업.마케팅 직무(화성시),일자리,화성시 관내 구직준비 중인 청년들을 위한 직무특강 진행,,"2024-04-03~2024-04-24
모집기간: 2024. 4. 3.(수) ~ 4. 24.(수)","경기도 화성시, 화성시 청년취업끝까지 지원센터"
563,경기,2차 '청년마음건강지원' 모집(시흥시),복지.문화,청년마음건강 지원사업,,"2024-04-22~2024-04-26
*예산 소진 시 조기 마감될 수 있음",□ 경기도 시흥시
564,경기,경기청년직무교육 GTQid 인디자인 자격증반(양평군),교육,경기 양평군 청년들의 직무능력 향상을 위한 GTQid 인디자인 1급 자격증반 교육 운영,,"2024-04-17~2024-04-29
4.17.(수) 14시~ 선착순 마감",경기청년공간 내일스퀘어 양평
565,경기,청년 면접정장 무료대여(광명시),일자리,"광명시 청년의 취업준비 비용을 덜어주고 사회진출의 첫걸음을 마련해 주기 위해, 광명시가 구직 청년들에게 면접정장을 무료로 대여",,❍ 신청기간: 2024년 1월~12월 (예산 소진 시까지),경기도 광명시
566,경기,연천군 향토장학생 선발,교육,2024년 연천군 향토장학생 선발계획,,"2024-04-08~2024-04-26
-",○ 통일평생교육원 교육청소년팀(031-839-4436)
567,경기,'청년캣취업사관학교' 2기 모집(고양시),일자리,"고양시 청년 구직자를 위한 취업지원프로그램 ""캣취업사관학교 2기"" 참여자 모집",,"2024-04-08~2024-04-21
-",- 고양시통합일자리센터 청년팀(031-8075-3671)
568,경기,자격증취득 프로젝트 '자.취’ (경기도),교육,자립을 준비하는 위탁아동 지원 '자.취.(자격증취득) 프로젝트',,- 사업기간: 2024년 2월 ~ 2024년 12월(예산 소진시 사업 조기 종료 예정),- 경기남부가정위탁지원센터(031-234-3980)
569,경기,(재)양평군교육발전위원회 장학생 선발,교육,양평군 청년을 대상으로 장학생 선발을 통한 장학금 지급,,"2024-04-15~2024-04-26
○ 신청기간(*등기접수와 방문접수 마감일 다름, 접수방법에 따른 마감일 확인 필수*)
- 등기우편접수: 일반·빠른등기, 2024년 4월 15일(월) ~ 4월 19일(금) 소인분까지
- 방문접수: 2024년 4월 15일(월) 09시 ~ 4월 26일(금) 17시까지 ※ 점심시간(12시~13시) 및 토·일요일 접수 제외",(재)양평군교육발전위원회
570,경기,세대융합형 베이비부머 창업 서포터즈 청년 (예비)창업자 모집 (경기도),일자리,"스타트업 육성 및 사회공헌형 일자리 창출에 기여하고자 「세대융합형 베이비부머 창업 서포터즈」 사업을 진행.
사업에 참여할 청년 (예비)창업자 모집",,"2024-04-15~2024-05-03
‘24. 4. 15.(월) ~ 5. 3.(금), 18:00까지
- 접수 마감일에는 문의 및 접속이 원활하지 않을 수 있으므로, 마감일 2~3일 이전에 ‘경기스타트업플랫폼’ 가입 및 사업 신청을 미리 진행하는 것을 권장","경기도,경기도경제과학진흥원"
571,경기,연천 '청년 창업성공패키지' 참여자 모집,일자리,연천군 지역내 예비 창업 청년 대상 임대료 및 인테리어 시설 비용 지원,,"2024-03-04~2024-03-08
- 공고기간: 2024.01.15.(월) ~ 2024.03.03.(일)",- 신청문의: 연천군청년센터(031-839-4141)
572,경기,5월 1:1 대면 모의면접(수원시),일자리,전문가와 1:1 대면 방식을 통한 면접 이미지 컨설팅,,"2024-04-16~2024-04-30
-",- 수원시청년지원센터
573,경기,현직자 직무 강의 '반도체 엔지니어의 하루일기'(수원시),일자리,5월 현직자 직무 강의(반도체 엔지니어),,"2024-04-16~2024-04-30
-",- 수원시청년지원센터
574,경기,집단상담 그림책 테라피 '나다움'(수원시),복지.문화,그림책을 통한 힐링 프로그램,,"2024-04-16~2024-04-30
-",- 수원시청년지원센터(031-267-3628)
575,경기,구리시 입영지원금 지원사업,복지.문화,입영지원금 지원사업(지역화폐),,❍ 사업기간 : 2024. 1. 1. ~ 2024. 12. 31.,❍ 경기도 구리시 각 동 행정복지센터(031-550-2601~8)
576,경기,무주택 신혼부부 전월세자금 대출이자 지원(구리시),주거,「2024년 구리시 무주택 신혼부부 전월세자금 대출이자 지원」사업,,"2024-04-15~2024-04-26
-",❍ 구리시 기획예산담당관 지속가능발전팀(☎031-550-2729)
577,경기,4월 'Level-up 창업컨설팅'(양주시),일자리,양주시 예비 또는 초기 청년 창업자를 위한 창업컨설팅,,"2024-04-01~2024-04-30
-",○ 양주시청년센터(031-8082-6076)
578,경기,대학생 주말 일자리사업 참여자 모집(오산시),일자리,「2024년도 2단계」대학생 주말 일자리사업 참여자 모집,,"2024-04-22~2024-04-26
-",❍ 경기도 오산시
579,경기,애향 및 주거지원 장학생 선발(동두천시),교육,동두천시 애향 및 주거지원 장학생(대학생) 선발,,"2024-04-15~2024-04-26
-",▶ 경기도 동두천시 평생교육원 교육지원팀(☎ 031-860-3306)
580,경기,법률용어특강 '주거편'(수원시),복지.문화,청년을 위한 주거 관련 법률용어 특강,,"2024-04-16~2024-04-30
-",- 수원시청년지원센터(031-267-3628)
581,경기,면접 정장 무료대여 '청년 드림슈트'(성남시),일자리,성남시 청년구직자를 위한 면접정장 무료대여 서비스,,2024.2.1~상시(예산소진시),경기도 성남시
582,경기,청년 취업사진 촬영비 지원사업(의왕시),일자리,의왕시 청년의 원활한 구직을 위해 취업사진촬영비를 지원,,"2024-01-08~2024-12-20
*예산소진시까지",경기도 의왕시
583,경기,청년 1:1 맞춤형 취업 멘토링(김포시),일자리,청년 취준생에 면접 및 취업관련 컨설팅 제공,,2024.2.1~모집완료시,경기도 김포시
584,경기,청년옷장(과천시),일자리,과천시 청년들을 위한 면접정장 무료대여사업,,"2024-01-02~2024-12-20
2024. 1. 2.(화) ~ 2024. 12. 20.(금)(예산소진시 조기마감)",경기도 과천시
585,경기,청년 취업사진 촬영비 지원사업(의왕시),일자리,의왕시 청년의 원활한 구직을 위해 취업사진촬영비를 지원,,"2024-01-08~2024-12-20
*예산소진시까지",경기도 의왕시
586,경기,청년 1:1 맞춤형 취업 멘토링(김포시),일자리,청년 취준생에 면접 및 취업관련 컨설팅 제공,,2024.2.1~모집완료시,경기도 김포시
587,경기,청년 사진 Dream사업(부천시),일자리,부천시 청년 구직자의 고용촉진을 위하여 청년의 자격증 시험·취업에 필요한 증명사진을 지원하는 사업,,"2024-03-01~2024-11-30
□ 신청 기간
- 상반기 : 2024. 3. 1.~ 5. 31. (160명)
- 하반기 : 2024. 7. 1.~ 9. 30. (160명)
- 추가접수(잔여분 발생 시) : 2024. 10. 1.~11. 30.
※ 상반기 160명, 하반기 160명 각각 인원충원시 마감
※ 예산 소진 시 조기 마감",경기도 부천시
588,경기,대학생 본인부담 등록금 반값지원(안산시),복지.문화,지역사회 인재육성과 역량을 강화하고 교육비 부담 경감을 통해 교육하기 좋은 안산을 실현하고자 2024년 1학기 대학생 본인부담 등록금 반값지원을 진행,,"2024-05-02~2024-05-31
2024.5.2(목).9:00~5.31.(금) 18:00",경기도 안산시
589,경기,청년 면접 정장 대여 지원「꿈나래」(화성시),일자리,화성청년들을 위한 면접 정장대여,,"2024-02-05~2024-12-06
❍ 신청기간: 2024. 2. 5.(월) ~ 12. 6.(금) ※ 예산소진 시 조기종료",경기도 화성시
590,경기,청년창업 지원사업 예비창업자 모집(성남시),일자리,성남시에서는 혁신적인 기술과 사업모델(BM)을 보유한 예비창업자를 발굴·지원,,"2024-04-02~2024-04-28
○모집기간: 2024. 4. 2.(화) ~ 4. 28.(일) ※ 공고일: 2024. 4. 2.",경기도 성남시
591,경기,면접사진 촬영(김포시),일자리,구직준비관련 사진촬영을 지원함,,o 2/7 ~ 상시 (예산소진시 선착순 마감),"경기도 김포시, 김포청년공간 창공"
592,경기,1:1 스피치 컨설팅(김포시),교육,김포청년공간에서 제공하는 스피치 능력향상 및 면접스피치 관련 교육,,2024.02.26~상시,"❍경기도 김포시, 김포시청년공간 창공"
593,경기,1인 가구 청년 무료건강검진(하남시),복지.문화,청년층 1인 가구를 대상으로 무료 건강검진 서비스를 제공,,-,경기도 하남시
594,경기,입영지원금(성남시),복지.문화,입영지원금 지원사업(지역화폐),,입영통지서 수령일 ~ 입영(소집) 후 6개월까지,경기도 성남시
595,경기,판교테크노밸리 임대보증금 지원사업(경기도),주거,판교테크노밸리 입주기업의 임직원을 대상으로 주거임대보증금을 지원함으로써 주거비 부담경감 및 통근시간 절감에 기여,,"2024-04-15~2024-06-30
o접수기간 : (1차 모집) 2024.04.15. ~ 04.30. / (2차 모집) 06.01. ~ 06.30.
*예산소진 시 사업종료, 선착순 지원","경기도, (재)경기도경제과학진흥원"
596,경기,청년 전·월세 안심계약 도움서비스(성남시),주거,청년분들의 안전한 거주를 지원하기 위해 전·월세 안심계약 도움 서비스 지원,,"2024-05-02~2024-12-24
-",경기도 성남시
597,경기,청년 전·월세 안심계약 도움서비스(성남시),주거,청년분들의 안전한 거주를 지원하기 위해 전·월세 안심계약 도움 서비스 지원,,"2024-05-02~2024-12-24
-",경기도 성남시
598,경기,청년 행복알바사업(구리시),일자리,구리시 미취업 청년에게 단기일자리를 제공함으로써 현장경험을 통한 취업역량 강화 및 생계안정에 기여,,- 모집공고기간 : 2024. 5월 4째주 예정,▶ 구리시 일자리경제과 일자리정책팀(031-550-8323)
599,경기,기업체 특례보증 지원사업(구리시),일자리,담보력이 부족한 청년 기업을 포함한 영세 중소기업에게 일반 보증조건보다 완화하여 특례 보증 지원,,-,-
600,경기,청년 정신건강 외래 치료비 지원 사업(구리시),복지.문화,"지역사회 내 청년 정신건강 문제에 대한 정신질환 조기발견 및 재발 방지, 사회복귀를 위한 정신건강 서비스",,-,-
601,경기,'미소금융 연계형' 소상공인 이자지원 사업(구리시),일자리,소상공인이 융자받은 자금에 대한 대출이자 일부를 시가 예산의 범위에서 금융기관에 보전,,- 신청기간 : 2024. 1. 2. ~ 예산소진 시까지,- 경기도 구리시 일자리경제과 소상공인지원팀(031-550-2275)
602,경기,'도자금 연계형' 소상공인 이자지원 사업(구리시),일자리,소상공인이 융자받은 자금에 대한 대출이자 일부를 시가 예산의 범위에서 금융기관에 보전,,- 신청기간 : 2024. 1. 15. ~ 예산소진 시까지,▶ 경기도 구리시 일자리경제과 소상공인지원팀(031-550-2275)
603,경기,'구리시형' 소상공인 이자지원 사업,일자리,소상공인이 융자받은 자금에 대한 대출이자 일부를 시가 예산의 범위에서 금융기관에 보전,,- 2024. 1. 2. ~ 예산소진 시까지,▶ 경기도 구리시 일자리경제과 소상공인지원팀(031-550-2275)
604,경기,안양시 청년행복인턴십 채용공고(제1차 추가모집),일자리,청년구직자의 직장 체험 기회 제공 및 취업 역량 강화를 위한「2024년 청년행복인턴십」사업 참여 청년 모집,,"2024-04-24~2024-04-30
-",○ 안양시청 고용노동과 일자리지원팀(☎ 031-8045-2362)
605,경기,첫살림 지원 사업 신청 안내(경기도),주거,첫 독립을 준비하는 위탁아동들을 지원하기 위한 첫살림 지원 사업,,▶ 지원시기: 2024년 2월 ~ 12월(예산 소진 시 사업 마감),- 경기남부가정위탁지원센터(031-234-3980)
606,경기,신혼부부 전세자금 대출이자 지원 사업(2차)(용인시),주거,2024년 신혼부부 전세자금 대출이자 지원사업(2차) 추진,,"2024-05-01~2024-05-17
○신청기간 : 2024. 5. 1.(수) ~ 5. 17.(금)
※ 시간 : 평일 09:00 ~ 18:00 (점심시간 12:00~13:00 제외)",경기도 용인시
607,경기,신혼부부 전월세자금 대출이자 지원사업(하남시),주거,하남시 신혼부부 전월세자금 대출이자를 지원,,"2024-04-01~2024-05-20
❍ 신청기간 : 2024. 4. 1.(월) ~ 2024. 5. 20.(월) / 주중 (09:00~18:00)",경기도 하남시
608,경기,청년어촌정착지원 사업대상자 추가모집(화성시),일자리,창업 초기 청년 수산업 경영인의 안정적인 어촌 정착을 위한 지원사업,,"2024-04-23~2024-05-07
❍ 신청기간 : 2024.4. 23.(화) ~ 2024.5. 7.(화) (15일간)
※ 접수기간 중 근무시간(월~금 9:00~18:00)에 한하여 접수(※12:00~13:00제외)",경기도 화성시
609,경기,대기업 현직자와 함께하는 청년 취업멘토링(하남시),교육,대기업 현직자의 직무별 멘토링 프로그램(총 8회차),,"2024-06-01~2024-11-29
□ 신청기간 : 2024. 5. 1.(수) ~ 11. 29.(금) ※ 상시 선착순 접수
□ 신청기한 : 참여하고 싶은 회차 시작일 1주일전까지 신청 (회차별 운영일은 참고사이트 및 공고문(첨부파일) 참고)
※ 신청 후 연락두절일 경우 미참여의사로 간주, 추후 멘토링 참여 불가",경기도 하남시
610,경기,청년정책발굴단(화성시),참여.권리,청년이 정책발굴 과정에 참여하여 지역 현안 해결의 실마리를 모색하고 청년의 사회참여활동을 활성화를 지원,,"2024-04-29~2024-05-14
○ 신청기간 : 2024. 4. 29.(월) 9:00 ~ 5. 14.(화) 18:00",경기도 화성시
611,경기,타지역민 이천시 신규 취업자 이주정착비 지원사업,주거,타지역에서 거주하다 이천 지역의 회사에 취업하여 이주한 근로자를 대상으로 이주정착금 지원,,"2024-05-01~2024-05-17
▢ 모집기간 : 2024. 05. 01. ~ 2024. 05. 17.18:00까지","▢경기도 이천시, 이천시노동자종합복지관"
612,경기,신혼부부 전월세자금 대출이자 지원사업(하남시),주거,하남시 신혼부부 전월세자금 대출이자를 지원,,"2024-04-01~2024-05-20
❍ 신청기간 : 2024. 4. 1.(월) ~ 2024. 5. 20.(월) / 주중 (09:00~18:00)",경기도 하남시
613,경기,청년어촌정착지원 사업대상자 추가모집(화성시),일자리,창업 초기 청년 수산업 경영인의 안정적인 어촌 정착을 위한 지원사업,,"2024-04-23~2024-05-07
❍ 신청기간 : 2024.4. 23.(화) ~ 2024.5. 7.(화) (15일간)
※ 접수기간 중 근무시간(월~금 9:00~18:00)에 한하여 접수(※12:00~13:00제외)",경기도 화성시
614,경기,대기업 현직자와 함께하는 청년 취업멘토링(하남시),교육,대기업 현직자의 직무별 멘토링 프로그램(총 8회차),,"2024-06-01~2024-11-29
□ 신청기간 : 2024. 5. 1.(수) ~ 11. 29.(금) ※ 상시 선착순 접수
□ 신청기한 : 참여하고 싶은 회차 시작일 1주일전까지 신청 (회차별 운영일은 참고사이트 및 공고문(첨부파일) 참고)
※ 신청 후 연락두절일 경우 미참여의사로 간주, 추후 멘토링 참여 불가",경기도 하남시
615,경기,경기도의회 청년행정인턴 모집,일자리,2024년 1차 경기도의회 청년행정인턴 모집,,"2024-04-26~2024-05-03
-",- 경기도의회(031-8008-7206)
616,경기,입영지원금(남양주시),복지.문화,현역병 또는 사회복무요원으로 입영(소집) 예정인 남양주시민에게 병역의무 이행 격려 지원금,,"- 입영(소집)통지서 수령 후 ~ 입영(소집) 전까지 신청
다만, 2022. 1. 1. 이후 입영(소집)자 중 입영 전 신청하지 못한 경우는 복무 중까지 신청 가능",경기도 남양주시
617,경기,청년창업 특례보증(안양시),일자리,자금력으로 인한 어려움을 겪는 청년창업기업 융자지원,,예산 소진시 마감,"○ 문의 : 경기신용보증재단 안양지점(1577-5900, 031-387-3525(내선 109))"
618,경기,파주청년 마음건강 지원사업,복지.문화,다양한 정서적 어려움을 겪고있는 청년들에게 진단을 통한 맞춤형 심리상담 서비스 제공,,"2024-04-23~2024-05-03
○ 기 간 : 2024. 4. 23.(화) ~ 5. 3.(금) 18:00까지",경기도 파주시
619,경기,평택시 미디어크리에이터 모집,복지.문화,"평택시의 문화, 지역, 여행, 사람등의 주제에 대해서 미디어콘텐츠제작을 지원",,"2024-04-15~2024-06-15
모집기간 : 2024년 4월 15일 ~ 6월 15일",경기도 평택시
620,경기,슬기로운 청년생활+(수원시),복지.문화,경기청년공간 1:1 고민상담 프로그램 지원 사업,,"2024-04-23~2024-05-28
- 신청기간: 4월 23일(화) ~ 5월 상담 일정 마감까지",- 수원시청년지원센터(031-267-3628)
621,경기,경기청년 해외진출사업 미국 인턴십,일자리,2024년 경기청년 해외진출 사업,,"2024-05-02~2024-05-22
-",○ 경기도일자리재단(031-270-9645)
622,경기,일본 해외취업 참여자 모집(경기도),일자리,2024년 경기청년 해외진출 사업,,"2024-05-03~2024-05-10
-",□ 경기도일자리재단 정책개발추진단 글로벌팀(031-270-9644)
623,경기,제1차 경기도 청년 면접수당,일자리,경기도 청년의 적극적 구직활동 지원을 위한 면접수당 모집 공고,,"2024-05-02~2024-06-07
-",○ 경기도일자리재단
624,경기,온라인마케팅 1기(안양시),교육,FIGMA로 배우는 온라인 마케팅,,"2024-04-23~2024-04-30
-",○ 안양시일자리센터(031-8045-6916)
625,경기,중소기업 노동자 기숙사 임차비 지원(가평군),주거,정주환경 및 근무 편의 개선을 위하여 「24년 중소기업 노동자 기숙사 임차비 지원 사업」 공고,,"2024-03-15~2024-05-10
-",□ 가평군청 일자리정책과 기업지원팀(☏031-580-2304)
626,경기,청년 뉴딜일자리 참여기업 모집(시흥시),일자리,시흥시 지역주도형 청년일자리 사업 청년 뉴딜일자리 참여기업 모집,,"2024-04-29~2024-05-07
-",□ 시흥시 청년청소년과(☎. 031-310-3693)
627,경기,수원시 1인 창조기업 지원센터 입주기업 모집,일자리,우수하고 참신한 아이템으로 창업에 도전하는 1인 창조기업 모집,,"2024-04-24~2024-05-13
-",□ 수원시 1인 창조기업 지원센터(031-204-1070)
628,경기,청년역량강화 (경제교육프로그램) 모집(평택시),교육,전세사기 예방하기 특강,,"2024-05-02~2024-05-31
접수기간: 2024-05-02 10:00~2024-05-31 18:00",평택시 청년지원센터
629,경기,1인가구 청년 독서프로그램 「벽돌책 완독하기」(안성시),교육,1인 가구 청년을 위한 독서회!「벽돌책 완독하기」의 참여자를 모집,,"2024-05-07~2024-09-24
2024. 5. 7.(화) 09:00 ~ 마감시까지",경기도 안성시
630,경기,안산시 온라인 청년패널 모집,참여.권리,청년패널 모집을 통한 정책수립 및 운영 활성화,,"2024-04-25~2024-05-08
❍ 모집기간 : 2024. 4. 25.(목) ~ 5. 8.(수) 【14일간】",경기도 안산시
631,경기,청년창업체험단 모집(경기도),일자리,청년들의 해외시장 진출 교두보를 마련하고 성장과 도약을 지원하는 「글로벌 성장지원 프로그램 운영」‘청년창업체험단’에 참여할 청년창업가를 모집,,"2024-05-02~2024-05-31
신청기간 : 2024. 5. 2.(목) ~ 5. 31.(금) 18:00까지","경기도, 경기도경제과학진흥원"
632,경기,청년 역량강화 기회지원 사업 (광명시),교육,광명시 미취업 청년들에게 고른 취업 자격기준 획득 기회 제공을 위해 어학・자격시험 응시료 및 수강료를 지원하는 「청년 역량강화 기회 지원 사업」 대상자를 모집,,"2024-05-02~2024-11-30
○ 신청기간 : 5월 2일 ~ 11월 30일
- (응시료) 2024. 5. 2.(목) ~ 2024. 11. 30.(토)
- (수강료) 2024. 7. 1.(월) ~ 2024. 11. 30.(토)
※ 단, 예산 소진 시, 사업 조기 종료",경기도 광명시
633,경기,청년예술인지원사업(안성시),복지.문화,청년예술인을 비롯한 지역 예술인의 다양한 문화예술 활동 기회를 지원(1개팀 최대800만원 내외 지원),,"2024-04-29~2024-05-21
- 접수기간 : 2024. 4. 29.(월) ~ 5. 21.(화) 18:00 (23일간)",경기도 안성시
634,경기,제2회 부천 관광 트래블리그,참여.권리,부천 미식 관광 연계 상품 개발 등 부천시 관광정책에 대한 청년들의 창의적이고 참신한 아이디어를 제안받기 위해 「2024년 제2회 부천 관광 트래블리그」를 개최,,"2024-04-24~2024-05-17
○ 2024. 4. 24.(수) 09:00 ∼ 5. 17.(월) 18:00 까지",경기도 부천시
635,경기,사회적경제 대학생 서포터즈 모집(부천시),참여.권리,부천시에서는 사회적경제 및 공정무역에 대한 청년들의 관심과 참여를 통해 사회적경제의 가치를 널리 알리고 지속가능한 공정무역도시를 조성하고자「부천시 사회적경제 대학생 서포터즈」를 모집,,"2024-04-24~2024-05-08
모집기간 : 2024. 4. 24. ∼ 5. 8. (15일간)",경기도 부천시
636,경기,안산시 온라인 청년패널 모집,참여.권리,청년패널 모집을 통한 정책수립 및 운영 활성화,,"2024-04-25~2024-05-08
❍ 모집기간 : 2024. 4. 25.(목) ~ 5. 8.(수) 【14일간】",경기도 안산시
637,경기,1인가구 청년 독서프로그램 「벽돌책 완독하기」(안성시),교육,1인 가구 청년을 위한 독서회!「벽돌책 완독하기」의 참여자를 모집,,"2024-05-07~2024-09-24
2024. 5. 7.(화) 09:00 ~ 마감시까지",경기도 안성시
638,경기,내 마음을 알고 심리?(화성시),복지.문화,화성시청년지원센터에서 지원하는 심리검사 3종 및 해석상담 진행,,"2024-04-25~2024-05-27
◆ 신청기간: 2024. 4. 25.(목) ~ 5. 27.(월). 18시",화성시청년지원센터 HEY
639,경기,안산시 청년큐브 입주기업 모집,일자리,지역 청년창업기업 집중 지원을 위한 「안산시 청년큐브」의 ‘24년도 1차 신규 입주기업 모집,,"2024-04-25~2024-05-15
공고일 ~ ‘2024. 5. 15.(수) 신청 및 이메일 도착분에 한함","경기도 안산시, (재)경기테크노파크"
640,경기,청년역량강화 (경제교육프로그램) 모집(평택시),교육,전세사기 예방하기 특강,,"2024-05-02~2024-05-31
접수기간: 2024-05-02 10:00~2024-05-31 18:00",평택시 청년지원센터
641,경기,청년인재등록(의왕시),일자리,청년들의 시정 참여기회를 확대하고 청년인재 발굴을 위해 청년인재풀(pool)운영,,❍ 기 간 : 2024. 4. 19.(금) ~ 계속,경기도 의왕시
642,경기,화성시 청년활동포인트제 2차,복지.문화,화성시는 지역사회에 대한 청년의 관심 고취 및 청년의 사회참여 활동 만족도 제고를 위하여 다음과 같이 「2024년 화성시 청년활동포인트제」 참여자를 모집,,"2024-05-06~2024-06-14
2차 2024. 5. 6.(월) ~ 6. 14.(금)",경기도 화성시
643,경기,주거비지원 장학생 선발(화성시),주거,(재)화성시인재육성재단에서 화성시 대학생을 대상으로 주거비지원 장학생을 선발,,"2024-05-07~2024-05-27
❍ 공고 및 접수기간 : 2024. 5. 7.(화) 09:00 ~ 5. 27.(월) 17:00",(재)화성시인재육성재단
644,경기,해외유학 장학생 모집(화성시),교육,(재)화성시인재육성재단에서 화성시 미래를 주도할 글로컬 인재 양성을 위하여 「해외유학생 장학금」 장학생을 선발함,,"2024-05-07~2024-05-29
○ 접수기간 : 2024. 5. 7.(화) 9:00 ~ 5. 29.(수) 17:00",(재)화성시인재육성재단
645,경기,저소득층 대학생 본인부담 등록금 지원 사업(이천시),교육,"법정저소득층 세대의 실질적 교육비 부담 경감, 균등한 교육기회 제공, 대학생 학자금 대출 부담 완화 등을 위한 지원 사업",,"2024-05-07~2024-06-28
-",경기도 이천시
646,경기,5월 마음산책-비대면 심리상담(고양시),복지.문화,고양시 청년의 마음건강을 위한 1:1 비대면 심리상담,,"2024-05-01~2024-05-31
- 예약 확정 후 시간 협의를 위하여 상담사가 개별 연락(7일 이내) 예정
(상담일까지 최대 1주 이상 소요)",-
647,경기,청년창업 아이디에이션 4.0 참가자 모집(성남시),교육,성남 청년들의 혁신분야 창업 역량 강화를 위하여 혁신분야 전문교육 및 미서부 청년 교류 해커톤을 통한 창업 아이디어 현실화 경험 기회를 제공,,"2024-04-22~2024-06-18
❍ 접수기간: 2024. 04. 22.(월) ~ 06. 18.(화), 18:00까지
* 2024. 06. 18.(화), 18:00 도착분에 한함","경기도 성남시, 성남시청소년재단"
648,경기,저소득층 대학생 본인부담 등록금 지원 사업(이천시),교육,"법정저소득층 세대의 실질적 교육비 부담 경감, 균등한 교육기회 제공, 대학생 학자금 대출 부담 완화 등을 위한 지원 사업",,"2024-05-07~2024-06-28
-",경기도 이천시
649,경기,청년도전지원사업(파주시),일자리,"구직단념청년을 발굴하여 구직의욕 고취 및 자신감 강화, 취업 촉진을 지원하기 위한 맞춤형 프로그램을 제공",,○ 모집기간 : 2024. 5. 2. ~ 수시 모집 (선착순 마감),경기도 파주시
650,경기,청년 창업자 임차료 지원사업 하반기 모집(파주시),일자리,파주시 초기 청년 창업자의 안정적인 정착을 위해 사업장 임차료의 일부를 보조하는「2024년 청년 창업자 임차료 지원 사업」의 하반기 참여자모집,,"2024-05-01~2024-05-13
○ 신청기간 : 2024. 5. 1.(수) ~ 5. 13.(월) 18:00까지",경기도 파주시
