번호,정책유형,정책명,정책 요약,주관기관
1,일자리,산림산업 창업지원_청년 산림인 성장지원,산림 분야 취·창업을 준비하는 청년들을 대상으로 실무강화 및 현장인재 양성을 지원하는 교육 프로그램 20종 공모·운영,산림청
2,교육,주거안정장학금,원거리 대학 진학으로 인해 주거 관련 비용 부담이 큰 저소득 대학생을 대상으로 주거 부담 경감을 위한 ‘주거안정장학금＇ 지원,교육부
3,일자리,맞춤형화장품조제관리사 자격 역량강화,맞춤형화장품조제관리사 자격증 취득 후 실제 활용을 위해 식품의약품안전처와 성신여자대학교가 함께하는 맞춤형화장품조제관리사 자격 역량강화 교육입니다.,화장품정책과
4,참여.권리,유엔참전국 교류캠프,유엔참전용사 후손 및 유엔참전국 우수 인재 간 교류캠프를 통해 대한민국에 대한 국제사회의 지지를 강화하고 참전으로 맺어진 연대를 미래세대로 계승,국가보훈부
5,복지.문화,청년내일저축계좌,일하는 저소득층 청년들이 안정적으로 자산을 형성해 나갈 수 있도록 지원하는 청년자산형성 지원사업,보건복지부
6,주거,청년 주택드림 디딤돌 대출,청년의 주거사다리 지원을 위해 청년 주택드림 통장으로 청약 당첨 시 주택구입자금을 대출,국토교통부
7,일자리,해외조달 전문인력 양성,"청년(학생 및 조달기업 재직자) 대상 해외조달시장에 대한 이론, 실무교육 실시 및 채용 연계",조달청
8,교육,규제과학 인재양성 및 글로벌 협력연구,"식의약 규제과학 분야 석박사 (비)학위과정, 취업 연계 프로그램, 현장체험 등 운영 및 글로벌 우수 대학, 연구소 등과의 교류",기획조정과
9,일자리,산림산업 창업지원_청년 산림창업 마중물 지원,청년법인 도약 및 사업성공을 위한 청년 산림창업 마중물 지원하여 열악한 청년 창업 여건을 개선하여 산촌 정착 저변 확대,산림청
10,교육,사회복무요원의 안정적 사회진출 지원,o 사회복무요원 장병내일준비적금 가입 시 사회복귀준비금 지원 - 연도별 매칭비율에 해당하는 금액을 사회복무요원 복무만료 시 국가가 추가로 지원하는 자산형 지원금 o 복무 중 자기개발 기회 확대로 경력단절 최소화 - 원격강좌 학점 취득 수강료 지원 - 사회복무경험 학점 인정,병무청
11,교육,의약품 규제업무 전문가 양성교육,의약품 안전관리 전주기의 법적·과학적 규제기준에 대한 종합적 지식을 갖춘 '의약품 규제업무 전문가' 양성·배출,식품의약품안전처
12,일자리,해양경찰청 청년인턴 채용,"ㅇ 청년의 일경험 기회를 확대하고, 정책과정 경험 및 참여를 통해 청년의 다양한 시각을 반영하기 위한 2025년 해양경찰청 청년인턴 채용",해양경찰청
13,교육,예비청년 대상 발명교육 지원,발명/특허 특성화고 지원,특허청
14,교육,체계적인 지식재산 인재 및 리더 양성,지식재산 전문인력 양성 중점대학 운영 및 산학협동현 캠퍼스특허유니버시아드 운영,특허청
15,일자리,지식재산 기반 창업촉진(IP 디딤돌 프로그램),"개인 및 예비창업자를 대상으로 창의적 아이디어를 기술적으로 발전시켜 사업아이템을 도출하고, 이에 대한 지식재산 컨설팅 및 권리화 지원",특허청
16,복지.문화,서울시 청년수당,"서울에 거주하고 있는 만 19세~34세 미취업 또는 단기 근로 청년에게 활동지원금(월 50만원 최대 6개월)을 지급하고, 강점진단 종합지원, 멘토링, 취업지원 프로그램 제공 등 청년 니즈에 맞게 프로그램 연계를 지속 지원하는 사업",서울특별시
17,교육,AI 보안관제 전문인력 양성(5기) 교육,사이버보안 분야(보안관제) 취업을 희망하는 청년 구직자 대상 정보보호 기초 및 보안관제 직무 교육(총 200시간) 운영,과학기술정보통신부
18,교육,K-Shield 주니어 14기 정규과정,사이버보안 분야 입문 및 진출을 희망하는 청년 대상 정보보호 기초 교육(80시간 이상)과 직무 교육(300시간 이상) 운영,과학기술정보통신부
19,복지.문화,청년문화예술패스,사회에 첫 발을 내딛는 대한민국 19세 청년에게 공연(연극·뮤지컬·클래식·콘서트·음악 페스티벌 등) ·전시 관람비를 지원하여 청년의 문화향유 기회를 제공하고 품격있는 문화시민이자 적극적 문화소비 주체로 성장할 수 있도록 지원하는 사업,문화체육관광부
20,교육,마이스터대 지원,고숙련 전문기술인재 양성을 위해 직무 중심 고도화된 교육과정을 운영하는 '마이스터대' 지원,교육부
21,주거,청년주택드림청약통장,무주택 청년의 주택구입과 자산형성을 지원,국토교통부
22,일자리,창업도약패키지(투자병행형) 창업기업 모집,도약기 창업기업의 비즈니스 모델 혁신 및 제품·서비스 고도화 지원,중소벤처기업부
23,일자리,창업도약패키지(대기업협업형) 창업기업 모집,도약기 창업기업의 비즈니스 모델 혁신 및 제품·서비스 고도화 지원,중소벤처기업부
24,일자리,창업도약패키지(일반형) 창업기업 모집,도약기 창업기업의 비즈니스 모델 혁신 및 제품·서비스 고도화 지원,중소벤처기업부
25,일자리,스타트업 해외전시회 참가기업 모집,유망 창업기업의 인도 시장 진출 지원과 글로벌 경쟁력 강화 도모를 위한 전시회 참가 지원,중소벤처기업부
26,일자리,초기창업패키지 창업기업 모집,창업 후 3년 이내 초기창업기업의 사업 안정화 및 성장 지원,중소벤처기업부
27,일자리,재도전성공패키지 IP전략형 (예비) 재창업기업 지원,"특허, 실용신안, 디자인 중 1건 이상 출원 또는 등록한 폐업이력을 보유한 (예비)재창업자의 성공적인 재창업 지원",중소벤처기업부
28,일자리,예비창업패키지 창업기업 모집,혁신적인 기술과 사업모델을 보유한 예비창업자의 성공적인 창업 지원,중소벤처기업부
29,일자리,글로벌 기업 협업 프로그램 창업기업 모집,"정부와 글로벌 기업이 협업하여 창업기업의 성장을 지원하고, 글로벌시장 진입 기회 마련",중소벤처기업부
30,일자리,재도전성공패키지 일반형 (예비) 재창업기업 지원,성실한 실패 경험과 우수한 아이템을 보유한 (예비)재창업자의 성공적인 재창업 지원,중소벤처기업부
31,일자리,고교생 맞춤형 고용서비스,"대학의 우수 인프라를 활용하여 취업을 희망하는 고교 재학생을 대상으로 진로 설계, 희망직업 포트폴리오 작성 및 취업활동계획 수립 지원, 직업훈련·일경험 연계 등 맞춤형 고용서비스를 제공하여 졸업 후 원활한 노동시장 진입 촉진",고용노동부
32,일자리,직장적응 지원,산업단지 입주기업 등의 CEO‧중간관리자‧인사담당자 대상 청년친화 조직문화 교육‧컨설팅 및 신입직원 대상 직장적응 지원 프로그램(on-borarding)을 제공합니다.,고용노동부
33,교육,대학일자리플러스센터,"학내 취업지원 인프라 구축과 기초 취업지원 프로그램 운영을 위한 운영비·프로그램비를 지원하여, 대학 내 흩어져 있는 청년 취업지원 인프라를 통합하고 청년에게 원스톱 서비스 제공할 수 있는 기반을 마련",고용노동부
34,일자리,취업희망프로그램,"나의 긍정적인 측면을 찾도록 하여 자신감 회복과 인간관계 향상과 취업, 원만한 사회생활 적응 등을 돕는 집단상담 프로그램",고용노동부
35,교육,NCS 기반 능력중심 채용,"NCS 기반으로 분석한 직무의 상세 내용 및 직무능력 평가 기준을 바탕으로, 학벌 등 불필요한 스펙(Over-spec)이 아닌, 직무 수행 현장에서 원하는 직업능력, 즉 해당 직무에 맞는 스펙(On-spec)을 갖추었는지 평가하여 직무에 적합한 인재를 선발하는 채용 방식",고용노동부
36,일자리,청년일자리 강소기업 선정,중소·중견기업에 대한 인식개선 등을 위해 청년고용 및 기업경쟁력이 우수한 '청년일자리 강소기업'을 선정하여 기업정보 제공 및 홍보 등 지원,고용노동부
37,일자리,K-Move 스쿨,"청년과 구인기업이 요구하는 어학 및 직무능력, 생활문화 등에 대한 맞춤형 교육(연수)과정 제공 후 해외취업 연계",고용노동부
38,일자리,조기재취업수당,"구직급여 수급자격자가 실업의 신고일로부터 14일이 지난 후 재취업한 날의 전날을 기준으로 소정급여일수를 1/2 이상 남기고 재취업한 경우, 12개월 이상 계속 고용되거나 또는 사업을 영위한 경우에 남아 있는 구직급여의 1/2을 조기재취업수당으로 지급하여 구직급여 수급자의 빠른 재취업을 촉진하는 제도",고용노동부
39,일자리,취업특강,"고용시장에 대해 이해하고 구직에 필요한 근로기준법, 일자리정보 수집방법, 이력서/자기소개서 작성방법 및 면접요령 등을 빠르게 알 수 있도록 지원하는 강의식 프로그램(과정별 2시간)",고용노동부
40,일자리,국가기간·전략산업직종 훈련,고용센터 상담 결과 훈련 필요성이 인정되는 구직자 등이 국가기간·전략산업직종 훈련에 참여할 수 있도록 훈련비 등 지원,고용노동부
41,일자리,첨단산업·디지털 핵심 실무인재 양성훈련(K-디지털 트레이닝),"AI, 빅데이터, 반도체 등 첨단산업·디지털 분야에서 핵심적인 역할을 담당할 인재를 양성하기 위해 고용노동부가 지원하는 훈련 과정",고용노동부
42,일자리,국민취업지원제도,취업을 원하는 사람에게 취업지원서비스를 종합적으로 제공하고 저소득 구직자에게는 생계를 위한 최소화의 소득을 지원하기 위한 제도,고용노동부
43,일자리,고용복지플러스센터,"일자리, 복지, 서민금융 서비스를 한 곳에서 One-stop 지원",고용노동부
44,일자리,마음똑똑心+,자기 이해를 통한 구직의욕 향상을 집중 지원하는 집단상담프로그램,고용노동부
45,일자리,성취프로그램,구직기술 향상을 통해 자신감 회복을 지원하는 집단상담 프로그램,고용노동부
46,일자리,일반고 특화훈련,대학 진학이 아닌 취업을 희망하는 일반계고 3학년생에게 맞춤형 직업능력개발훈련 기회 제공,고용노동부
47,일자리,(국민연금) 실업크레딧 지원,실업자의 노후소득 보장을 강화하기 위해 구직급여 수혜기간 동안 국민연금 보험료의 일부를 지원하고 그 기간을 연금 가입기간으로 산입하는 제도,고용노동부
48,일자리,월드잡플러스(해외통합정보망),"해외취업을 희망하는 청년들에게 해외일자리 정보, 해외 생활정보, 취업비자 등 다양한 해외취업 정보제공 등을 통해 해외취업 활성화 도모",고용노동부
49,일자리,청소년·청년 근로권익센터,"청소년·청년 근로자의 근로조건보호를 위한 근로 상담(온라인,전화,카톡) 및 무료 권리구제 등 지원",고용노동부
50,교육,일학습병행,"기업이 (학습)근로자를 채용하여 체계적인 맞춤형 훈련을 제공하고 훈련 종료 후 역량을 평가하여 국가자격, 학력 등 인정",고용노동부
51,일자리,단기집단상담프로그램,구직자가 취업의욕 고취 및 직업기초능력 향상 등 필요한 부분만을 선택하여 습득할 수 있도록 지원하는 체험·실습식 프로그램(과정별 3시간),고용노동부
52,일자리,K-디지털 기초역량훈련,노동시장 참여자가 디지털 역량 부족으로 노동시장 진입/적응에 어려움을 겪지 않도록 디지털 기초역량 개발 지원,고용노동부
53,복지.문화,직업 트라우마 센터 운영,"직장생활 중 다양한 사건/사고(중대재해, 동료의 자살, 직장 내 괴롭힘, 성희롱, 성폭력, 정신적 피해 등)로 정신적 외상(직업적 트라우마)를 겪은 사람에게 무료 심리상담 제공",고용노동부
54,일자리,해외취업알선,"대한민국 인재채용을 희망하는 해외업체에 구인서비스, 해외취업을 희망하는 구직자에게 일자리정보 제공",고용노동부
55,일자리,대학 재학생 맞춤형 고용서비스,청년들에게 재학 중 고용서비스 조기 지원을 위해 심층상담에 기반한 맞춤형 훈련·일경험 서비스를 제공하고 청년의 원활한 학교-노동시장 이행을 지원하고자 선정 대학에 인건비·프로그램비·수당 등을 지원,고용노동부
56,일자리,청년 국가기술자격시험 응시료 지원사업,청년의 구직활동과 경력개발의 경제적 부담을 완화하기 위한 사업,고용노동부
57,일자리,예술인 고용보험,문화예술용역 계약을 체결한 예술인에 대한 고용보험 적용을 통해 실업급여·출산전후급여 지급을 통한 고용안전망 확충,고용노동부
58,일자리,청년취업ON,직무군별 역량이해와 개인경험을 기반으로 한 효과적인 채용서류와 채용면접준비를 돕는 컨설팅 프로그램,고용노동부
59,일자리,유연근무제 장려금(사업주 지원),"소속 근로자가 일·생활 균형을 위해 유연근무제를 활용하게 하는 중소, 중견기업에게 장려금 지원",고용노동부
60,주거,생활안정자금 융자사업,"생계곤란을 겪는 근로자 등에게 의료비, 혼례비, 장례비, 노부모부양비 등의 생계비를 저리로 융자하여 생활안정 및 근로의욕을 고취하기 위한 사업",고용노동부
61,일자리,국가인적자원개발 컨소시엄,"중소기업 재직근로자의 직업훈련 참여 확대와 신성장동력분야, 융복합분야 등의 전략산업 전문인력육성, 산업계 주도의 지역별 직업훈련기반 조성 등을 위해 공동훈련에 필요한 훈련 인프라와 훈련비 지원 사업",고용노동부
62,일자리,청년층직업지도프로그램(CAP@),"청년층의 직업 선택을 지원하고, 취업서류 작성, 면접기술 강화 등 구직기술 향상을 돕는 집단상담 프로그램",고용노동부
63,일자리,구직자ㆍ기업 도약보장 패키지,"□ 인구·산업구조 변화, 취업·채용 형태 다양화, 일에 대한 인식 변화, 온라인·디지털 서비스 확산 등 고용서비스 여건 변화에 대응 필요",고용노동부
64,일자리,미래내일 일경험 사업,직무역량을 중시하는 채용 트렌드 변화에 대응하여 민·관협업을 기반으로 미취업 청년에게 다양한 일경험 기회를 제공하여 원활한 노동시장 진입을 지원,고용노동부
65,일자리,국민내일배움카드,급격한 기술발전에 적응하고 노동시장 변화에 대응하는 사회안전망 차원에서 생애에 걸친 역량계발 향상 등을 위해 국민 스스로 직업능력개발훈련을 실시할 수 있도록 훈련비 등 지원,고용노동부
66,일자리,국내해외취업센터 운영,"해외취업 아카데미 및 상시채용관 운영(면접 지원), 온·오프라인 상담서비스 및 전략설명회 등 해외취업 상담·지원",고용노동부
67,일자리,해외 K-Move 센터 운영,"코트라 해외무역관 등을 활용하여 양질의 해외일자리 발굴 및 취업알선, 헬프데스크 운영을 통한 취업자 사후관리 및 애로사항 해소 지원, 현지 취업 박람회 개최를 통한 취업 지원 등",고용노동부
68,일자리,청년일자리 도약장려금,"기업의 청년고용 확대를 지원하고, 취업애로 청년의 취업을 촉진함으로써, 청년고용 활성화를 목적으로 하는 정책 ㅇ (유형Ⅰ) 5인 이상 중소기업에서 취업애로청년을 정규직으로 채용하고 6개월 이상 고용유지시 기업지원금 지급 ㅇ (유형Ⅱ) 빈일자리 업종 중소기업에서 청년을 정규직으로 채용 후 6개월 이상 고용유지시 기업지원금 지급하고, 해당 기업에서 18개월 이상 재직한 청년에게 청년장기근속인센티브 지급",고용노동부
69,참여.권리,중증장애인근로자 출퇴근 비용 지원,"저임금 중증장애인 근로자(최저임금 적용제외 근로자, 기초생활수급자 및 차상위계층 근로자)에게 출퇴근시 소요되는 교통비를 지원하여 안정적인 직업생활과 고용유지를 지원",고용노동부
70,참여.권리,육아기 근로시간 단축 급여,육아기에 근로시간을 단축하여 근무하는 경우 급여를 지원하여 육아기 근로자의 경력단절을 방지하고 일과 가정의 양립을 지원,고용노동부
71,복지.문화,고용보험 미적용자 출산급여 지원,소득활동을 하고 있으나 고용보험 미적용으로 고용보험의 '출산전후휴가급여'를 지원받지 못하는 출산여성에게 출산급여 지원을 통해 모성보호와 생계지원,고용노동부
72,참여.권리,"고용평등 심층상담(직장 내 성희롱, 고용상 성차별 피해, 모성보호제도 등)","직장 내 성희롱, 고용상 성차별, 모성보호제도 등 피해와 관련한 상담을 원하는 분들께, 청, 대표지청의 고용평등상담지원관이 권리구제를 위한 전문 상담 서비스를 제공합니다.",고용노동부
73,일자리,결혼이민여성 취업지원,집단상담프로그램 참여를 통하여 경력단절 결혼이민 여성등의 근로의욕 고취와 구직능력향상을 도모하고 직업훈련 연계 및 취업알선 등 취업지원서비스 제공,고용노동부
74,일자리,직업훈련 생계비대부사업,"취약계층(비정규직근로자, 전직실업자, 무급휴직자, 자영업자인 피보험자)이 생계비에 대한 부담 없이 장기간 체계적인 훈련을 받고 더 나은 일자리로의 취업을 할 수 있도록 생계비를 융자 신청할 수 있도록 함",고용노동부
75,참여.권리,전주시 관광 창업 아카데미 참가자 모집공고,관광 분야에서 혁신적인 창업 아이디어를 보유한 예비 창업자와 초기 창업자를 대상으로 창업자를 양성하고자 하오니 참여를 희망하시는 분들은 아래 안내에 따라 신청해 주시기 바랍니다.,전주시청
76,참여.권리,과학기술정보통신부 제2기 「2030 자문단」 모집 공고(~ 12.9. 18시까지),과학기술정보통신부 제2기 「2030 자문단」 모집,과학기술정보통신부
77,복지.문화,HIV/AIDS 진료비 지원,"HIV 관련 진료비로 인한 경제적 부담을 덜어 HIV 감염인의 지속적인 치료를 지원함으로써, 감염인의 건강 유지 및 타인에 대한 전파방지로 국민 건강 증진에 기여",질병관리청
78,참여.권리,제3기 행정안전부 2030자문단 모집 공고,행정안전부는 정책 수립과 집행 과정에서 청년세대의 인식을 전하는 핵심 창구 역할을 수행할 2030 자문단을 아래와 같이 공개 모집하오니 많은 참여 바랍니다.,행정안전부
79,참여.권리,2025년 상반기 시흥창업센터 신규 입주기업 모집 공고,"(재)시흥산업진흥원에서는 제반 창업 여건이 어려운 창업기업의 고정비 감소와 관내 우수 역량을 보유한 혁신 소비재, 기술창업등 창업기업 발굴을 위한 입주기업 모집을 다음과 같이 공고합니다.",-
80,참여.권리,강남구 개포동지역 ㈜오피스허브 1인 창조기업 지원센터 입주기업 모집,㈜오피스허브 1인 창조기업 지원센터 입주기업 모집을 아래와 같이 공고합니다.,-
81,참여.권리,강남구 개포동지역 ㈜오피스허브 1인 창조기업 지원센터 입주기업 모집,㈜오피스허브 1인 창조기업 지원센터 입주기업 모집을 아래와 같이 공고합니다.,-
82,참여.권리,2025년 상반기 시흥창업센터 신규 입주기업 모집 공고,"(재)시흥산업진흥원에서는 제반 창업 여건이 어려운 창업기업의 고정비 감소와 관내 우수 역량을 보유한 혁신 소비재, 기술창업등 창업기업 발굴을 위한 입주기업 모집을 다음과 같이 공고합니다.",-
83,참여.권리,제3기 행정안전부 2030자문단 모집 공고,행정안전부는 정책 수립과 집행 과정에서 청년세대의 인식을 전하는 핵심 창구 역할을 수행할 2030 자문단을 아래와 같이 공개 모집하오니 많은 참여 바랍니다.,행정안전부
84,복지.문화,HIV/AIDS 진료비 지원,"HIV 관련 진료비로 인한 경제적 부담을 덜어 HIV 감염인의 지속적인 치료를 지원함으로써, 감염인의 건강 유지 및 타인에 대한 전파방지로 국민 건강 증진에 기여",질병관리청
85,참여.권리,과학기술정보통신부 제2기 「2030 자문단」 모집 공고(~ 12.9. 18시까지),과학기술정보통신부 제2기 「2030 자문단」 모집,과학기술정보통신부
86,참여.권리,제2기 국방부 2030자문단 모집 공고,국방부에서는 정책 수립과 집행 과정에서 청년세대의 인식을 전달하는 임무를 수행할 국방부 2030 자문단 단원을 공개 모집하오니 관심 있는 여러분의 많은 지원을 바랍니다.,국방부
87,참여.권리,Announcement on Application for Recommendations for the “Startup Korea Special Visa”,"We are pleased to announce that applications for recommendations for the ""Startup Korea Special Visa"" will be accepted on a rolling basis, and this visa will be issued upon the recommendation of the Ministry of SMEs and Startups (“MSS”), following an evaluation of the startup’s feasibility and innovativeness.",중소벤처기업부
88,참여.권리,"노지스마트농업 미래 비전 세미나 개최(경북 안동, 일시 : 12.12.(목) 13:30~17:00)",노지스마트농업의 현재를 공유하고 미래를 함께 그리기 위해 「노지스마트농업 미래비전 세미나」를 개최합니다.,한국미래농업연구원
89,참여.권리,한국방송통신전파진흥원 ESG 서포터즈 모집,"방송통신전파 초융합을 실현하는 디지털 혁신 선도기관 한국방송통신전파진흥원(이하 ‘KCA’)에서는 국민이 공감하는 지속가능 ESG경영 추진을 위한 「KCA ESG 서포터즈」를 모집하오니, 많은 관심과 참여 바랍니다.",한국방송통신전파진흥원
90,복지.문화,통신중계 서비스 제공,"청각·언어장애인이 비장애인들과 영상(수화), 문자, 음성 등을 통해 의사소통이 가능하도록 통신중계서비스를 제공",과학기술정보통신부
91,참여.권리,체불근로자 무료법률구조지원,체불근로자가 소송을 통해 임금채권을 행사할 수 있도록 대한법률구조공단에서 법률구조지원 서비스 제공 (필요 비용은 고용노동부에서 지급),고용노동부
92,복지.문화,비수도권 희귀질환 진단지원,"희귀질환 진단지원을 통해 비용에 대한 부담으로 진단 시기를 놓치는 사례를 방지하고, 희귀질환을 조기에 진단하여 적기에 치료를 받을 수 있도록 하고자 함",질병관리청
93,복지.문화,2504 긴급견인 서비스,고속도로 상에서 2차 사고 발생 위험이 있는 차량 견인,한국도로공사
94,참여.권리,제17기 법무부 국민기자단 모집 (12.02~12.22.),2025년을 이끌어 갈 제17기 국민기자단을 아래와 같이 모집합니다.,법무부
95,참여.권리,제2기 교육부 2030자문단 공개모집 공고(~ 12.17. 18시까지),제2기 교육부 2030자문단 공개모집 공고,교육부
96,참여.권리,고용노동부 제2기 2030자문단 모집 공고,고용노동부 제2기 2030자문단 모집 공고,고용노동부
97,주거,자립준비청년 2024년 하반기 청년 매입임대주택 우선공급 입주자모집 공고,"청년 매입임대주택은 서울주택도시공사에서 매입하여 주거지원이 필요한 청년층에게 저렴한 임대조건으로 공급(임대)하는 다가구, 도시형생활주택(원룸형) 임대주택입니다.",서울주택도시공사
98,복지.문화,대구 결식아동 학기 중 토·공휴일 중식 지원,대구 결식아동 학기 중 토·공휴일 중식 지원,대구광역시교육청
99,일자리,취업능력향상(행복오름) 프로그램,"근로능력수급자의 근로의욕 증진과 경력설계를 돕기 위해, 대상자의 취업능력 향상을 지원하고 맞춤형 취업지원이 이루어질 수 있도록 마련된 프로그램",고용노동부
100,일자리,구직급여,고용보험 근로자가 실직하여 재취업 활동을 하는 기간에 소정의 급여를 지급함으로써 실업으로 인한 생계불안을 극복하고 생활의 안정을 도와주며 재취업의 기회를 지원해주는 제도,고용노동부
101,교육,직업심리검사,"개인의 능력과 흥미, 성격 등 다양한 심리적 특성을 측정하여 자기 이해를 돕고 적합한 진로분야 선택을 돕기 위해 20여종의 심리검사 제공",고용노동부
102,일자리,해외취업정착지원금,해외취업에 성공한 도전적인 청년의 원활한 현지 정착과 장기근속을 위해 지원금 지급,고용노동부
103,일자리,고용유지지원금,"경기변동, 산업구조의 변화 등에 따른 경영악화 로 고용조정이 불가피하게 된 사업주가 근로자를 퇴직시키지 않고 고용유지조치(휴업, 휴직, 무급휴업, 휴직 등)를 실시하는 경우 지원금을 지원함으로써 근로자의 실업 예방 및 생계안정 유지",고용노동부
104,일자리,꿈드림 공작소,"대국민 공공인프라 개방 서비스로 국민의 직업능력개발을 위해 대국민 무료 기술교육 및 체험활동 지원, 러닝팩토리, 공유스튜디오 등 시설 장비 개방 등 지원",고용노동부
105,일자리,청년성장프로젝트(청년카페),"청년의 구직활동 지원 및 쉬었음 전환 예방을 위해 고용노동부, 자치단체가 함께 미취업 청년 등에게 청년 친화적 인프라(청년카페) 및 맞춤형 프로그램 제공",고용노동부
106,일자리,해외일경험 지원사업(WELL),청년들에게 해외 일경험(Work Experience)을 통한 직무체험 학습(Learning) 기회를 제공함으로써 국내외 취업사다리(Ladder) 역할 수행으로 청년들의 해외 일경험을 지원하는 사업,고용노동부
107,일자리,청년도전지원사업,"구직단념청년 등에게 구직의욕 고취 및 자신감 강화를 위한 맞춤형 프로그램 제공, 참여자에게 참여수당.인센티브 지급",고용노동부
108,복지.문화,2025년 전국민마음투자지원사업,"우울.불안 등 정서적 어려움이 있는 국민에게 대화 기반의 전문 심리상담 서비스를 제공하여, 국민의 마음건강을 돌보는 정책",보건복지부
109,참여.권리,청년세대 맞춤형 고충해소,다양한 청년층 대상 맞춤형 고충해소,국민권익위원회
110,참여.권리,청년 관련 정책 및 제도 개선 활성화,청년 목소리를 반영한 청년 관련 정책 및 제도 개선,국민권익위원회
111,복지.문화,청춘청렴아카데미 운영,청년 대상 청렴교육 프로그램 개발 및 운영,국민권익위원회
112,일자리,공공기관 채용비위 근절 추진,"공공기관 채용실태 정기 전수조사 및 컨설팅, 교육 등을 통한 채용비리 사전 예방",국민권익위원회
113,참여.권리,공공외교 현장 실습원,청년들에게 해외 공공외교 현장 체험 기회를 제공하여 공공외교에 대한 이해를 제고하고 우리 청년들의 해외진출을 지원,외교부
114,교육,행복도시 공동캠퍼스의 안정적인 정착 지원,인재 양성을 위한 캠퍼스 조성과 장단기 성장기반 마련을 병행하여 도시 지속적 성장을 위한 새로운 성장동력 확보,도시성장촉진과
115,일자리,스타트업AI기술인력 양성(이어드림스쿨),청년 대상 AI 실무 교육 및 관련 스타트업 취업 연계 지원,중소벤처기업부
116,참여.권리,특수거래분야 소비자 보호,청년층을 대상으로 발생하는 불법 다단계 사기 범죄에 대한 홍보 및 교육을 통해 선제적 피해 예방 및 청년층 권익증진 도모,공정거래위원회
117,일자리,디지털숲가꾸기,"청년 일자리를 통한 국공사유림 과거 산림경영활동(조림, 숲가꾸기 등) 데이터를 수집하고 공간정보를 구축",산림청
118,주거,청년 신규 공무원 주거안정방안 마련,ㅇ 추진배경 높은 생활비 등으로 인하여 행복도시 정착에 어려움을 겪는 사회 초년생 등 청년층을 위한 청년 임대주택 확보방안 마련,도시공간건축과
119,교육,우수학생 국가장학금(예술체육비전 장학금),전공분야별로 재능과 소질을 개발하여 예술 및 체육 분야를 선도할 수 있는 인재로 육성하기 위해 학자금 지원,교육부
120,참여.권리,유엔자원봉사단(UNV) 파견,"대학교 졸업생들을 대상으로 유엔 현장사무소에서 UNV 봉사단(전문 및 청년)으로 근무하도록 하여 기술 습득, 네트워킹 확대 및 국제적 경험 기회 제공",외교부
121,참여.권리,국제기구초급전문가(JPO) 파견,국제기구 정규직원과 동등한 조건의 근무를 통해 국제기구 진출에 필요한 전문인력 양성 도모 및 우리 국민의 국제기구 진출 확대 지원,외교부
122,교육,우수학생 국가장학금(인문 100년 장학금),인문사회계열 우수학생에게 학자금을 지원하여 인문학 소양을 갖춘 인재를 양성할 수 있도록 지원,교육부
123,교육,대학생 근로장학금 지원,대학생에게 학자금(등록금과 생활비) 마련을 위한 근로 기회를 제공하고 그에 따른 대가(장학금)를 지급함으로써 안정적인 학업 여건을 조성하고 사회·직업 체험을 통해 취업 역량을 제고,교육부
124,참여.권리,KF 한중청년교류(방중 파견),"한중 차세대 간 교류 확대, 상호 우의 증진을 통해 미래지향적 한중 관계 구축을 위한 한국 청년 방중 파견 사업",한국국제교류재단
125,일자리,국제옵서버 인력 확대,"해외 조업 원양어선 승선, IUU 어업 예방 및 감시와 과학자료 수집 활동을 하는 청년 국제옵서버 양성",해양수산부
126,참여.권리,KF 한일대학생교류,한일 대학생 간 소통 강화와 미래 지향적인 양국 관계 발전을 위한 상대국 상호 방문 프로그램,한국국제교류재단
127,참여.권리,에너지 국제기구 인턴 파견,에너지 국제기구와의 협력 확대 및 우리 청년들이 글로벌 에너지 전문 인력으로 성장할 수 있는 기회 제공,외교부
128,교육,청년해기인력 공급기반 강화,"미취업 청년해기사를 대상으로, 산.학 협력을 통한 선사 맞춤형 특화교육 및 취업지원을 하고 승선에 대한 동기부여 등을 통해 국적 청년 해기사의 안정적 공급시스템 구축",해양수산부
129,교육,청년임업인 특성화교육,"청년임업인 네트워킹을 통한 학습그룹 발굴, 그룹별 수요맞춤형 임산물 재배기술 교육, 현장실증형 장기교육(체류형, 출퇴근형 등), 임업 우수사례지 견학 등",사유림경영소득과
130,일자리,취업지원대상자 취업능력개발비용 지원(국가보훈부),국가보훈대상자 중 '취업지원 대상자의 취업역량 향이상'을 위한 취업수강료 지원,국가보훈부
131,교육,ICT기반 수산전문인력 양성,4차 산업혁명기술분야 전문성과 수산분야 소양을 함께 겸비한 현장밀착형 전문인력 양성,해양수산부
132,복지.문화,가족돌봄청년 전담지원 시범사업,"가족돌봄청년 전담발굴, 원스톱 접수 및 맞춤형 사례관리",인구사회서비스정책실
133,일자리,청년어업인 정착지원 사업,청년의 어촌유입과 안정적인 어촌정착을 위해 정착자금 지원,해양수산부
134,참여.권리,중남미 지역기구 인턴 파견,"우리 청년들에게 국제무대에서 활동할 수 있는 기회와 여건을 제공하고, 차세대 중남미 전문인력으로서의 능력 개발 및 역량 강화 지원",중남미국
135,일자리,산림산업 창업지원,산림분야 관심자 및 전공자 태상 취ㆍ창업 실적역량 강화로 임산업 분야 우수 청년인재 유입 확대,산림안전보건일자리팀
